"Date","sulfate","nitrate","ID"
"2002-02-14",1.09,2.56,330
"2002-02-19",2.25,5.62,330
"2002-02-25",2.18,2.37,330
"2002-03-03",1.24,0.597,330
"2002-03-15",2.64,3.59,330
"2002-03-21",1.8,1.28,330
"2002-03-27",1.92,4.4,330
"2002-04-02",3.02,3.46,330
"2002-04-08",2.96,5.06,330
"2002-04-14",4.78,4.61,330
"2002-04-26",1.57,2.04,330
"2002-05-02",1.83,1.89,330
"2002-05-08",2.6,4.58,330
"2002-05-14",2.29,2.12,330
"2002-05-26",1.76,2.12,330
"2002-06-01",1.04,0.343,330
"2002-06-07",4.79,4.09,330
"2002-06-19",8.08,1.54,330
"2002-06-25",8.09,1.31,330
"2002-07-01",3.45,1.11,330
"2002-07-07",7.96,2.21,330
"2002-07-13",2.33,0.675,330
"2002-07-19",1.04,0.308,330
"2002-07-25",5.14,2.07,330
"2002-07-31",3.57,0.727,330
"2002-08-06",0.278,0.0848,330
"2002-08-12",6.41,1.21,330
"2002-08-18",0.753,0.261,330
"2002-08-24",5.01,1.84,330
"2002-08-30",7.12,2.61,330
"2002-09-05",1.07,0.933,330
"2002-09-11",0.939,0.404,330
"2002-09-17",4.97,2.28,330
"2002-09-29",10.7,2.98,330
"2002-10-05",1.01,1.01,330
"2002-10-11",5.78,7.89,330
"2002-10-17",1.01,2.44,330
"2002-10-23",0.984,0.556,330
"2002-10-29",1.75,0.892,330
"2002-11-04",3.16,5.43,330
"2002-11-10",5.29,4.42,330
"2002-11-16",0.85,0.773,330
"2002-11-22",1.51,0.987,330
"2002-11-28",3.52,9.91,330
"2002-12-04",1.38,3.11,330
"2002-12-10",1.77,6.41,330
"2003-01-03",0.848,1.52,330
"2003-01-09",0.945,0.779,330
"2003-01-15",0.621,3.59,330
"2003-01-21",0.9,0.931,330
"2003-01-27",1.56,3.14,330
"2003-02-02",5.94,9.26,330
"2003-02-08",2.29,5.95,330
"2003-02-14",1.22,3.87,330
"2003-02-20",1.22,3.9,330
"2003-02-26",2.4,8.35,330
"2003-03-04",3.32,5.52,330
"2003-03-10",1.68,2.88,330
"2003-03-16",7.35,11.9,330
"2003-03-22",3.88,2.57,330
"2003-03-28",2.12,4.85,330
"2003-04-03",4.12,4.79,330
"2003-04-15",3.54,1.47,330
"2003-04-27",3.07,2.2,330
"2003-05-03",1.79,0.766,330
"2003-05-09",4.1,3.47,330
"2003-05-15",2.03,2.17,330
"2003-05-21",0.76,0.41,330
"2003-05-27",1.54,0.511,330
"2003-06-02",1.67,1.89,330
"2003-06-08",1.89,2.59,330
"2003-06-14",2.13,1.22,330
"2003-06-20",0.885,0.37,330
"2003-06-26",1.39,0.445,330
"2003-07-02",5.88,1.12,330
"2003-07-08",1.18,0.917,330
"2003-07-14",6.43,0.918,330
"2003-07-20",4.78,0.757,330
"2003-07-26",5.55,0.319,330
"2003-08-01",8.17,1.94,330
"2003-08-07",1.88,0.671,330
"2003-08-13",1.94,0.609,330
"2003-08-19",4.46,1.55,330
"2003-08-25",3.57,0.521,330
"2003-08-31",1.29,0.429,330
"2003-09-06",2.53,1.16,330
"2003-09-12",12.6,1.58,330
"2003-09-24",1.62,0.51,330
"2003-09-30",0.835,0.587,330
"2003-10-06",0.814,1.14,330
"2003-10-12",0.77,0.577,330
"2003-10-18",1.19,1.61,330
"2003-10-24",2.33,4.98,330
"2003-10-30",2.46,3.94,330
"2003-11-05",2.1,2.15,330
"2003-11-11",3.48,5.84,330
"2003-11-17",4.36,7.84,330
"2003-11-23",2.3,2.76,330
"2003-11-29",1.74,2.34,330
"2003-12-05",0.955,4.23,330
"2003-12-11",1.22,1.24,330
"2003-12-17",3.42,1.43,330
"2003-12-23",1.73,4.3,330
"2004-01-04",1.17,0.883,330
"2004-01-10",2.37,10.2,330
"2004-01-22",0.676,0.559,330
"2004-01-28",1.29,4.64,330
"2004-02-03",3.77,5.11,330
"2004-02-09",2.93,4.39,330
"2004-02-15",0.945,1.42,330
"2004-02-21",2.7,1.61,330
"2004-02-27",4.16,10.8,330
"2004-03-04",5,9.64,330
"2004-03-10",3,5.04,330
"2004-03-16",1.26,1.28,330
"2004-03-22",1.07,1.82,330
"2004-03-28",4,4.04,330
"2004-04-03",0.755,0.826,330
"2004-04-09",1.75,1.39,330
"2004-04-15",2.64,5.77,330
"2004-04-21",1.49,1.57,330
"2004-04-27",1.25,0.782,330
"2004-05-03",0.969,1.73,330
"2004-05-09",4.48,6.01,330
"2004-05-15",0.681,0.554,330
"2004-05-21",1.18,1.11,330
"2004-05-27",2.64,2.17,330
"2004-06-02",2.01,1.15,330
"2004-06-08",4.69,0.902,330
"2004-06-14",1.69,0.833,330
"2004-06-20",1.69,0.606,330
"2004-06-26",0.795,0.396,330
"2004-07-02",1.47,0.409,330
"2004-07-08",0.789,0.416,330
"2004-07-14",1.1,0.378,330
"2004-08-01",2.57,0.393,330
"2004-08-07",1.25,0.631,330
"2004-08-13",0.574,0.308,330
"2004-08-25",2.79,2.51,330
"2004-08-31",1.84,0.647,330
"2004-09-06",7.68,0.347,330
"2004-09-12",7.91,1.31,330
"2004-09-18",1.32,1.25,330
"2004-09-24",2.12,0.516,330
"2004-09-30",1.48,2.34,330
"2004-10-06",1.38,0.832,330
"2004-10-12",2.62,3.9,330
"2004-10-18",1.13,1.75,330
"2004-10-24",1.81,1.55,330
"2004-10-30",1.1,0.186,330
"2004-11-05",0.963,0.745,330
"2004-11-11",0.72,0.336,330
"2004-11-17",5.92,8.12,330
"2004-11-23",3.29,4.66,330
"2004-11-29",0.879,3.62,330
"2004-12-05",1.13,2.57,330
"2004-12-11",1.55,0.833,330
"2004-12-17",1.67,2.66,330
"2004-12-23",0.82,1.01,330
"2004-12-29",5.02,18.2,330
"2005-01-04",1.86,4.13,330
"2005-01-10",3.04,6.8,330
"2005-01-16",1.01,2.57,330
"2005-01-22",1.4,0.659,330
"2005-01-28",2.59,6.37,330
"2005-02-03",6.04,17.6,330
"2005-02-09",1.87,2.35,330
"2005-02-21",3.35,4.42,330
"2005-02-27",2.4,7.05,330
"2005-03-05",4.89,15.5,330
"2005-03-11",1.97,3.02,330
"2005-03-17",3.52,6.42,330
"2005-03-23",0.968,0.755,330
"2005-03-29",3.17,8.33,330
"2005-04-04",2.07,3.66,330
"2005-04-10",6.54,6.07,330
"2005-04-16",2.56,6.14,330
"2005-04-22",1.26,2.73,330
"2005-04-28",1.72,2.9,330
"2005-05-04",2.54,6.31,330
"2005-05-10",1.3,1.52,330
"2005-05-16",0.629,0.495,330
"2005-05-22",2.26,1.05,330
"2005-05-28",1.5,1.08,330
"2005-06-03",8.03,3.48,330
"2005-06-09",3.06,0.901,330
"2005-06-21",2.4,0.628,330
"2005-06-27",20.5,1.47,330
"2005-07-03",3.77,1.62,330
"2005-07-09",2.58,0.662,330
"2005-07-15",3.53,0.424,330
"2005-07-21",1.19,1.61,330
"2005-08-02",18.6,0.94,330
"2005-08-08",8.22,1.44,330
"2005-08-14",1.04,0.423,330
"2005-08-20",2.2,0.725,330
"2005-08-26",12.6,2.27,330
"2005-09-07",10.2,1.89,330
"2005-09-19",6.8,1.5,330
"2005-09-25",4.42,4.82,330
"2005-10-01",3.85,0.797,330
"2005-10-07",0.583,0.243,330
"2005-10-13",5.83,5.31,330
"2005-10-19",1.01,0.655,330
"2005-10-25",1.66,0.484,330
"2005-10-31",5.24,5.59,330
"2005-11-06",0.973,0.521,330
"2005-11-18",1.2,3.86,330
"2005-11-24",0.319,0.113,330
"2005-11-30",2.46,2.32,330
"2005-12-06",2.03,5.3,330
"2005-12-12",1.7,2.89,330
"2005-12-18",1.79,5.29,330
"2005-12-24",3.27,15.1,330
"2005-12-30",2.96,2.69,330
"2006-01-11",3.39,6.54,330
"2006-01-17",2.9,5.85,330
"2006-01-23",4.59,6.3,330
"2006-01-29",2.12,2.32,330
"2006-02-04",1.15,0.753,330
"2006-02-10",2.52,8.15,330
"2006-02-16",0.825,0.472,330
"2006-02-22",1.85,4.92,330
"2006-02-28",1.75,1.85,330
"2006-03-06",2.73,5.47,330
"2006-03-12",2.11,2.05,330
"2006-03-18",1.24,1.37,330
"2006-03-24",0.807,1.29,330
"2006-03-30",7.95,6.71,330
"2006-04-05",1.41,0.797,330
"2006-04-11",3.55,0.646,330
"2006-04-23",1.44,1.56,330
"2006-04-29",2.54,2.59,330
"2006-05-05",1.2,0.673,330
"2006-05-11",1.09,0.897,330
"2006-05-17",1.03,0.821,330
"2006-05-23",1.87,1.01,330
"2006-05-29",3.34,0.574,330
"2006-06-04",0.787,0.327,330
"2006-06-10",0.388,0.101,330
"2006-06-16",9.51,0.875,330
"2006-06-22",1.54,0.56,330
"2006-07-04",3.91,0.921,330
"2006-07-16",3.62,0.478,330
"2006-07-22",0.707,0.35,330
"2006-07-28",2.55,0.767,330
"2006-08-09",4.26,1.21,330
"2006-08-15",1.24,0.245,330
"2006-08-27",5.83,1.59,330
"2006-09-02",2.3,1.21,330
"2006-09-08",2.66,0.627,330
"2006-09-14",3.63,2.19,330
"2006-09-20",0.596,0.504,330
"2006-09-26",0.669,0.512,330
"2006-10-08",4.29,1.52,330
"2006-10-14",1.05,0.603,330
"2006-10-20",2.16,3.19,330
"2006-11-01",0.98,1.31,330
"2006-11-07",6.16,9.59,330
"2006-11-13",4,5.57,330
"2006-11-19",1.29,0.636,330
"2006-12-01",0.994,0.729,330
"2006-12-07",0.866,0.563,330
"2006-12-13",3.01,6.06,330
"2006-12-19",1.05,4.25,330
"2006-12-25",3.52,7,330
"2006-12-31",3.18,4.94,330
"2007-01-06",2.53,4.77,330
"2007-01-12",2.13,5.18,330
"2007-01-18",3.44,6.42,330
"2007-01-24",2.41,4.81,330
"2007-01-30",1.16,3.85,330
"2007-02-11",1.91,7.51,330
"2007-02-17",2.41,5.38,330
"2007-03-01",4.03,3.47,330
"2007-03-07",2.06,3.93,330
"2007-03-13",3.14,4.74,330
"2007-03-19",2.29,4.74,330
"2007-03-25",3.62,4.04,330
"2007-03-31",2,6.23,330
"2007-04-06",0.871,0.348,330
"2007-04-12",1.59,0.901,330
"2007-04-18",1.43,0.569,330
"2007-04-24",1.54,2.06,330
"2007-04-30",1.64,0.687,330
"2007-05-06",0.993,0.225,330
"2007-05-18",0.944,1.32,330
"2007-05-24",4.38,0.54,330
"2007-05-30",10.7,2.65,330
"2007-06-05",0.832,0.416,330
"2007-06-11",5.69,2.44,330
"2007-06-17",9.45,1.8,330
"2007-06-23",2.52,1.27,330
"2007-06-29",0.399,0.354,330
"2007-07-05",1.49,0.561,330
"2007-07-11",0.662,0.112,330
"2007-07-17",5.71,4.55,330
"2007-07-23",4.4,1.2,330
"2007-07-29",1.13,0.266,330
"2007-08-04",1.34,0.767,330
"2007-08-10",4.46,1.44,330
"2007-08-16",1.32,0.947,330
"2007-08-22",1.87,1.36,330
"2007-08-28",5.8,0.67,330
"2007-09-03",4.16,0.73,330
"2007-09-15",0.357,0.774,330
"2007-09-21",7.6,2.9,330
"2007-09-27",1.58,3.14,330
"2007-10-03",0.957,1.45,330
"2007-10-09",0.775,0.263,330
"2007-10-15",3.83,6.49,330
"2007-10-21",1.83,0.233,330
"2007-10-27",2.39,2.7,330
"2007-11-02",0.774,3.36,330
"2007-11-08",2.22,4.92,330
"2007-11-14",0.915,1.6,330
"2007-11-20",6.49,10.4,330
"2007-11-26",4.33,5.26,330
"2007-12-02",1.95,5.91,330
"2007-12-14",1.34,2.64,330
"2007-12-26",1.22,6.06,330
"2008-01-01",3.32,4.95,330
"2008-01-07",2.84,2.76,330
"2008-01-13",3.24,8.3,330
"2008-01-19",0.921,2.22,330
"2008-01-25",1.51,5.96,330
"2008-01-31",1.37,2.37,330
"2008-02-12",2.28,3.37,330
"2008-02-18",2.35,1.63,330
"2008-02-24",5.47,14.7,330
"2008-03-01",2.25,2.74,330
"2008-03-13",2.48,8.73,330
"2008-03-19",2.75,2.98,330
"2008-03-25",2.54,2.49,330
"2008-03-31",2.85,3.6,330
"2008-04-06",5.7,4.04,330
"2008-04-12",0.666,0.613,330
"2008-04-18",2.97,4.22,330
"2008-04-24",2.77,3.9,330
"2008-04-30",3.27,4.08,330
"2008-05-06",2.55,4.78,330
"2008-05-12",1.85,1.54,330
"2008-05-18",0.557,0.17,330
"2008-05-24",1.06,1.15,330
"2008-05-30",2.85,2.87,330
"2008-06-05",2.36,2.84,330
"2008-06-11",1.63,1.92,330
"2008-06-17",0.71,0.175,330
"2008-06-23",1.14,0.552,330
"2008-06-29",0.677,0.355,330
"2008-07-05",3.74,2.1,330
"2008-07-11",1.96,0.235,330
"2008-07-29",3.81,0.842,330
"2008-08-04",1.93,0.863,330
"2008-08-16",1.64,0.448,330
"2008-08-22",6.69,1.66,330
"2008-08-28",6.1,3.28,330
"2008-09-03",1.01,0.318,330
"2008-09-09",1.03,0.947,330
"2008-09-15",1.07,0.274,330
"2008-09-21",6.9,2.03,330
"2008-09-27",7.56,1.4,330
"2008-10-03",0.911,0.91,330
"2008-10-21",0.753,0.349,330
"2008-10-27",0.509,0.136,330
"2008-11-02",2.86,5.5,330
"2008-11-14",1.62,2.27,330
"2008-11-20",0.642,0.259,330
"2008-11-26",1.44,3.51,330
"2008-12-02",1.81,3.54,330
"2008-12-08",2.04,6.19,330
"2008-12-26",2.81,3.55,330
"2009-01-01",1.42,2.94,330
"2009-01-07",3,10.8,330
"2009-01-13",1.26,2.35,330
"2009-01-19",2.39,4.2,330
"2009-01-25",1.6,3.1,330
"2009-01-31",1.4,5.73,330
"2009-02-06",2.66,13.9,330
"2009-02-12",3.09,1.96,330
"2009-02-18",2.11,4.03,330
"2009-02-24",2.6,7.06,330
"2009-03-02",1.13,0.652,330
"2009-03-08",2.07,3.33,330
"2009-03-14",1.71,7.76,330
"2009-03-20",1.19,2.25,330
"2009-03-26",2.08,2.83,330
"2009-04-01",1.73,0.718,330
"2009-04-13",1.69,1.04,330
"2009-04-19",2.45,4.24,330
"2009-04-25",1.65,0.516,330
"2009-05-07",1.58,1.39,330
"2009-05-13",3.07,2.3,330
"2009-05-19",1.99,0.3,330
"2009-05-25",1.27,0.137,330
"2009-05-31",1.07,0.534,330
"2009-06-12",2.19,0.808,330
"2009-06-18",6.66,3.75,330
"2009-06-30",0.646,0.12,330
"2009-07-06",0.797,0.318,330
"2009-07-12",0.538,0.181,330
"2009-07-18",0.865,0.165,330
"2009-07-24",1.75,0.38,330
"2009-07-30",1.07,0.488,330
"2009-08-05",0.773,0.247,330
"2009-08-17",1.82,0.544,330
"2009-08-23",0.757,0.322,330
"2009-08-29",0.622,0.22,330
"2009-09-04",4.7,3.45,330
"2009-09-10",7.15,2.58,330
"2009-09-16",1.15,0.171,330
"2009-09-22",4.61,5.34,330
"2009-09-28",0.525,0.0828,330
"2009-10-04",1.02,0.28,330
"2009-10-10",0.51,0.685,330
"2009-10-28",2.42,5.5,330
"2009-11-03",0.662,0.385,330
"2009-11-15",0.645,0.58,330
"2009-11-21",3.33,12,330
"2009-11-27",1.37,1.07,330
"2009-12-03",0.774,0.577,330
"2009-12-09",0.496,0.413,330
"2009-12-15",0.572,1.97,330
"2009-12-21",4.01,8.95,330
"2009-12-27",2.45,3.94,330
"2010-01-02",0.743,0.714,330
"2010-01-08",0.86,0.66,330
"2010-01-14",3.34,10.8,330
"2010-01-20",1.28,1.6,330
"2010-01-26",1.44,1.38,330
"2010-02-01",2.04,7.11,330
"2010-02-07",0.569,0.822,330
"2010-02-13",0.769,4.25,330
"2010-02-19",0.401,2.39,330
"2010-02-25",1.19,1.11,330
"2010-03-03",1.05,3.31,330
"2010-03-09",5.65,11.1,330
"2010-03-15",0.88,0.411,330
"2010-03-21",0.645,0.709,330
"2010-03-27",1.3,4.02,330
"2010-04-02",2.45,0.544,330
"2010-04-08",0.526,0.269,330
"2010-04-14",3.78,2.04,330
"2010-04-20",1.49,2.62,330
"2010-04-26",0.816,0.163,330
"2010-05-02",1.18,0.635,330
"2010-05-08",0.736,0.245,330
