"Date","sulfate","nitrate","ID"
"2001-12-15",4.38,8.48,329
"2001-12-27",1.01,1.49,329
"2002-01-05",1.41,10.9,329
"2002-01-17",1.49,4.8,329
"2002-01-20",1.52,6.47,329
"2002-01-23",1.87,2.57,329
"2002-01-29",0.817,0.238,329
"2002-02-01",0.744,1.21,329
"2002-02-07",1.16,2.62,329
"2002-02-10",1.59,0.327,329
"2002-02-13",0.602,1.66,329
"2002-02-16",1.05,0.853,329
"2002-02-19",1.13,2.82,329
"2002-02-22",0.475,0.645,329
"2002-02-25",1.1,0.143,329
"2002-02-28",1.02,2.59,329
"2002-03-03",1.14,0.169,329
"2002-03-12",2.23,5.2,329
"2002-03-15",1.41,0.237,329
"2002-03-18",2.01,0.705,329
"2002-03-24",1.24,0.203,329
"2002-03-27",1.4,2.86,329
"2002-04-02",2.18,1.6,329
"2002-04-05",2.55,2.11,329
"2002-04-08",2.38,3.38,329
"2002-04-11",2.14,2.04,329
"2002-04-14",3.05,3.61,329
"2002-04-20",1.12,0.159,329
"2002-04-23",2.19,3.97,329
"2002-04-29",2.47,1.77,329
"2002-05-05",1.18,0.555,329
"2002-05-08",2.28,2.19,329
"2002-05-11",2.16,1.64,329
"2002-05-20",0.576,0.136,329
"2002-05-23",3.21,0.881,329
"2002-05-26",0.975,1.71,329
"2002-05-29",5.82,1.68,329
"2002-06-01",0.981,0.279,329
"2002-06-04",1.42,0.646,329
"2002-06-07",3.03,0.605,329
"2002-06-10",7.88,2.01,329
"2002-06-13",0.827,0.125,329
"2002-06-16",0.501,0.12,329
"2002-06-19",5,1.18,329
"2002-07-01",3.27,0.506,329
"2002-07-07",4.86,0.995,329
"2002-07-10",0.646,0.279,329
"2002-07-13",1.3,0.149,329
"2002-07-16",6.21,0.414,329
"2002-07-19",2.68,0.762,329
"2002-07-22",0.546,0.14,329
"2002-07-25",2.33,0.939,329
"2002-07-28",1.82,0.659,329
"2002-08-03",2.14,0.575,329
"2002-08-06",0.3,0.163,329
"2002-08-09",4.75,0.75,329
"2002-08-12",1.56,0.303,329
"2002-08-15",1.62,0.303,329
"2002-08-21",3.3,1.11,329
"2002-08-24",1.26,0.151,329
"2002-08-30",4.71,1.19,329
"2002-09-05",1.84,0.741,329
"2002-09-08",11.4,0.587,329
"2002-09-14",2.96,0.65,329
"2002-09-20",1.41,0.767,329
"2002-09-29",6.13,3.75,329
"2002-10-05",1.18,0.448,329
"2002-10-08",1.42,1.27,329
"2002-10-11",3.95,4.33,329
"2002-10-14",0.918,0.539,329
"2002-10-17",1.02,1.62,329
"2002-10-20",1.44,1.11,329
"2002-10-26",2.14,4.18,329
"2002-10-29",1.17,1.28,329
"2002-11-19",0.871,3.43,329
"2002-11-22",1.77,0.391,329
"2002-11-25",0.807,0.477,329
"2002-11-28",2.44,6.27,329
"2002-12-13",3.09,5.3,329
"2002-12-16",0.974,0.42,329
"2002-12-19",3.29,3.43,329
"2002-12-28",2.06,6.43,329
"2002-12-31",0.972,0.495,329
"2003-01-06",0.959,1.12,329
"2003-01-09",0.418,0.309,329
"2003-01-12",0.641,2.29,329
"2003-01-21",0.713,0.679,329
"2003-01-25",1.82,5.4,329
"2003-01-27",0.948,2.44,329
"2003-02-02",3.79,5.8,329
"2003-02-08",1.12,1.58,329
"2003-02-14",0.691,0.697,329
"2003-02-20",0.981,5.18,329
"2003-02-26",2.09,5.98,329
"2003-03-04",1.55,1.26,329
"2003-03-16",5.54,9.18,329
"2003-03-22",2.61,0.799,329
"2003-03-28",0.815,0.525,329
"2003-04-03",1.25,0.198,329
"2003-04-09",1.58,2.02,329
"2003-04-15",2.55,0.743,329
"2003-05-05",1.48,0.739,329
"2003-05-09",1.68,0.958,329
"2003-05-15",1.48,0.206,329
"2003-05-21",1.02,0.318,329
"2003-05-27",1.13,0.378,329
"2003-06-02",1.6,0.303,329
"2003-06-08",2.48,0.975,329
"2003-06-26",1.13,0.296,329
"2003-07-02",4.82,0.635,329
"2003-07-14",3.26,0.284,329
"2003-07-26",3.84,0.47,329
"2003-08-01",0.974,0.194,329
"2003-08-07",0.964,0.19,329
"2003-08-13",1.91,0.335,329
"2003-08-19",7.98,0.395,329
"2003-08-31",1.65,0.178,329
"2003-09-12",10,1.08,329
"2003-09-18",6.3,0.361,329
"2003-09-24",0.872,0.163,329
"2003-09-30",0.545,0.136,329
"2003-10-06",1.51,1.8,329
"2003-10-18",0.909,0.624,329
"2003-10-24",1.15,2.7,329
"2003-10-30",1.95,3.24,329
"2003-11-05",1.45,1.38,329
